facility_key,facility_id,facility_name,city,country_name,longitude,latitude,first_year,latest_year,reporting_year_count,source_record_count,source_tables,distance_to_oder_hydro_boundary_m,distance_to_oder_hydro_boundary_km,distance_class,nearest_hydro_entity_type,nearest_hydro_source_layer,nearest_hydro_entity_id,nearest_hydro_entity_name,nearest_hydro_dfdd,nearest_hydro_rex,nearest_hydro_strahler,nearest_hydro_mc,nearest_hydro_basin_district,distance_to_major_river_line_m,distance_to_major_river_line_km,nearest_major_river_line_source_layer,nearest_major_river_line_id,nearest_major_river_line_name,distance_to_canal_line_m,distance_to_canal_line_km,nearest_canal_line_source_layer,nearest_canal_line_id,nearest_canal_line_name,distance_to_coastal_polygon_m,distance_to_coastal_polygon_km,nearest_coastal_polygon_source_layer,nearest_coastal_polygon_id,nearest_coastal_polygon_name,feature_ids,sector_codes,sector_names,annex_activities,pollutant_count,pollutants,latest_pollutants,air_release_total,water_release_total,pollutant_transfer_total,waste_transfer_total,waste_treatments,waste_classifications,lcp_feature_value_total,lcp_feature_types,lcp_units,ied_statuses,ied_activity_names,bat_conclusions,wi_cowi_capacity_total
PL.MŚ/000003522.FACILITY,PL.MŚ/000003522.FACILITY,Kopalnia Gazu Ziemnego Radlin - Strefa Przyodwiertowa Miłosław 4k,Miłosław,Poland,17.4888591766357,52.2092399597168,2022,2023,2,2,waste_transfers,7356.915022066582,7.357,1-10 km,major_river_line,River_Net_l,RL36019366,WARTA OD PROSNY DO LUTYNI,BH140,PL,6.0,1.0,,7356.915022066582,7.357,River_Net_l,RL36019366,WARTA OD PROSNY DO LUTYNI,44993.25674179196,44.993,Canals_l,CL36022972,,,,,,,,3.0,Mineral industry,3(a),0,,,,,,4.175,Disposal; Recovery,HW,,,,,,,
PL.EEA/16Z000670.FACILITY,PL.EEA/16Z000670.FACILITY,"Polskie Górnictwo Naftowe i Gazownictwo S.A. Oddział w Zielonej Górze, Ośrodek Produkcyjny Rekowo",Rekowo,Poland,14.796702,53.900242,2014,2017,3,3,waste_transfers,7432.051415929449,7.432,1-10 km,major_river_line,River_Net_l,RL36018151,ZALEW KAMIEŃSKI,BH140,PL,7.0,1.0,,7432.051415929449,7.432,River_Net_l,RL36018151,ZALEW KAMIEŃSKI,,,,,,14020.42560585206,14.02,Coastal_p,CO36000001,PLCWIIIWB9,,3.0,Mineral industry,3(a),0,,,,,,33.08,Disposal,HW,,,,,,,
PL.MŚ/000000630.FACILITY,PL.MŚ/000000630.FACILITY,Zakłady Wapiennicze Lhoist S.A. Jednostka Produkcyjna w Tarnowie Opolskim,Tarnów Opolski,Poland,18.0791759490967,50.5646171569824,2007,2024,18,40,air_releases; water_releases; ied_installations,7557.282016437569,7.557,1-10 km,major_river_line,River_Net_l,RL36005960,ODRA OD OSOBŁOGI DO MAŁEJ PANWI,BH140,PL,5.0,1.0,,7557.282016437569,7.557,River_Net_l,RL36005960,ODRA OD OSOBŁOGI DO MAŁEJ PANWI,23175.292259349462,23.175,Canals_l,CL36022948,,,,,,,PL.MŚ/000002940.INSTALLATION; PL.MŚ/000002939.INSTALLATION,3.0,Mineral industry,3(c),10,Carbon dioxide (CO2); Carbon monoxide (CO); Chromium and compounds (as Cr); Copper and compounds (as Cu); Mercury and compounds (as Hg); Nickel and compounds (as Ni); Particulate matter (PM10); Phenols (as total C); Total nitrogen; Zinc and compounds (as Zn),Carbon dioxide (CO2); Carbon monoxide (CO); Copper and compounds (as Cu); Total nitrogen,3641231600.0,5379526.17,,,,,,,,functional,Production of cement clinker in rotary kilns with a production capacity exceeding 500 tonnes per day or in other kilns with a production capacity exceeding 50 tonnes per day; Production of lime in kilns with a production capacity exceeding 50 tonnes per day,BATCNOTYETADOPTED; CLM,
PL.EEA/15P000683.FACILITY,PL.EEA/15P000683.FACILITY,"Polskie Górnictwo Naftowe i Gazownictwo S.A., Ośrodek Centralny Kaleje",Jeziory Wielkie,Poland,17.105763,52.169703,2012,2012,1,1,waste_transfers,7695.816165915865,7.696,1-10 km,major_river_line,River_Net_l,RL36019380,WARTA OD PYSZĄCEJ DO KOPLI,BH140,PL,6.0,1.0,,7695.816165915865,7.696,River_Net_l,RL36019380,WARTA OD PYSZĄCEJ DO KOPLI,26514.87532497123,26.515,Canals_l,CL36022926,,,,,,,,3.0,Mineral industry,3(a),0,,,,,,2.255,Disposal; Recovery,HW,,,,,,,
PL.MŚ/000002500.FACILITY,PL.MŚ/000002500.FACILITY,Polska Grupa Górnicza sp. z o.o. Oddział KWK Sośnica,Gliwice,Poland,18.7135009765625,50.2750091552734,2007,2024,18,60,air_releases; water_releases; waste_transfers; ied_installations,7698.538778238862,7.699,1-10 km,canal_line,Canals_l,CL36022985,,BH020,PL,-9999.0,,,32282.87876816801,32.283,River_Net_l,RL36004976,ODRA OD WYPŁYWU ZE ZB. POLDER BUKÓW DO KANAŁU GLIWICKIEGO,7698.538778238862,7.699,Canals_l,CL36022985,,,,,,,PL.MŚ/000003130.INSTALLATION,3.0,Mineral industry,3(a),5,Chlorides (as total Cl); Hydro-fluorocarbons (HFCS); Hydrochlorofluorocarbons (HCFCs); Methane (CH4); Polycyclic aromatic hydrocarbons (PAHs),Chlorides (as total Cl); Hydro-fluorocarbons (HFCS); Methane (CH4),457917205.0,386300000.0,,12523899.56,Disposal; Recovery,HW; NONHW,,,,functional,Combustion of fuels in installations with a total rated thermal input of 50 MW or more,BATCNOTYETADOPTED,
PL.MŚ/000003233.FACILITY,PL.MŚ/000003233.FACILITY,Kopalnia Gazu Ziemnego Kaleje - kotłownia,Jeziory Wielkie,Poland,17.1059303283691,52.1697196960449,2019,2024,6,7,ied_installations; waste_transfers,7707.293602409372,7.707,1-10 km,major_river_line,River_Net_l,RL36019380,WARTA OD PYSZĄCEJ DO KOPLI,BH140,PL,6.0,1.0,,7707.293602409372,7.707,River_Net_l,RL36019380,WARTA OD PYSZĄCEJ DO KOPLI,26525.85568990921,26.526,Canals_l,CL36022926,,,,,,,PL.MŚ/000003863.INSTALLATION,3.0,Mineral industry,3(a),0,,,,,,15.524,Disposal; Recovery,HW,,,,functional,Combustion of fuels in installations with a total rated thermal input of 50 MW or more,BATCNOTYETADOPTED,
PL.EEA/16Z000639.FACILITY,PL.EEA/16Z000639.FACILITY,"Polskie Górnictwo Naftowe i Gazownictwo S.A. Oddział w Zielonej Górze, Ekspedyt Ropy Naftowej Boleszkowice",Boleszkowice,Poland,14.517519,52.740275,2017,2017,1,1,waste_transfers,8064.234930616632,8.064,1-10 km,major_river_line,River_Net_l,RL36012598,ODRA OD WARTY DO ODRY ZACHODNIEJ,BH140,DE/PL,7.0,1.0,,8064.234930616632,8.064,River_Net_l,RL36012598,ODRA OD WARTY DO ODRY ZACHODNIEJ,21011.97102737625,21.012,Canals_l,CL36022968,,,,,,,,3.0,Mineral industry,3(a),0,,,,,,200.5,Disposal; Recovery,HW,,,,,,,
PL.EEA/04F001569.FACILITY,PL.EEA/04F001569.FACILITY,"Gozdnickie Zakłady  Ceramiki Budowlanej Sp. z o.o., Zakład nr 4",Gozdnica,Poland,15.09161,51.441089,2016,2016,1,1,waste_transfers,8158.467363652197,8.158,1-10 km,major_river_line,River_Net_l,RL36001566,ODER,BH140,DE/PL,5.0,1.0,,8158.467363652197,8.158,River_Net_l,RL36001566,ODER,43997.20514724196,43.997,Canals_l,CL36022992,,,,,,,,3.0,Mineral industry,3(g),0,,,,,,2.5460000000000003,Disposal; Recovery,HW,,,,,,,
PL.EEA/04F003620.FACILITY,PL.EEA/04F003620.FACILITY,Strefa Przyodwiertowa Sowia Góra-2k,-,Poland,15.829128,52.70991,2016,2016,1,1,waste_transfers,8466.742974692608,8.467,1-10 km,major_river_line,River_Net_l,RL36012534,WARTA OD KAMIONKI DO OBRY,BH140,PL,6.0,1.0,,8466.742974692608,8.467,River_Net_l,RL36012534,WARTA OD KAMIONKI DO OBRY,,,,,,,,,,,,3.0,Mineral industry,3(a),0,,,,,,2.83,Disposal,HW,,,,,,,
PL.MŚ/000002384.FACILITY,PL.MŚ/000002384.FACILITY,"Kopalnia Piasku ""KOTLARNIA"" S.A.",Kotlarnia,Poland,18.3755130767822,50.2693634033203,2009,2024,14,20,waste_transfers; ied_installations,8471.711094441285,8.472,1-10 km,canal_line,Canals_l,CL36022987,,BH020,PL,-9999.0,,,8581.127577666937,8.581,River_Net_l,RL36005062,ODRA OD WYPŁYWU ZE ZB. POLDER BUKÓW DO KANAŁU GLIWICKIEGO,8471.711094441285,8.472,Canals_l,CL36022987,,,,,,,PL.MŚ/000003014.INSTALLATION,3.0,Mineral industry,3(b),0,,,,,,1414.21,Disposal; Recovery,HW,,,,functional,Production of cement clinker in rotary kilns with a production capacity exceeding 500 tonnes per day or in other kilns with a production capacity exceeding 50 tonnes per day,BATCNOTYETADOPTED,
